Club,Type,Target,Total,Side,Shot Quality,Date,Lie,End Lie,Quality,Notes
 Dr, Driving,341.6617774,171.9643206,65, 15 Handicap, 2024-10-18 08:34:43 +0000, Tee, Fairway, Toe, #slice#push#high#doubleCross
 4H, Approach,211.3318184,123.2433158,-3, 10 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Fairway, Center, #straight#normal#intended
 7I, Approach,90.45230478,51.1918637,5, 20 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Fairway, Center, #straight#high#intended
 SW, Short,39.27052212,31.11700762,4, 0 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Green, Center, #straight#normal#intended
 Pu, Putting,4.036729425,9.524176267,7, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, lowLeft,
 Pu, Putting,1.394627631,1.394628743,-3, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 7I, Approach,135.4004345,128.1733077,-20, 15 Handicap, 2024-10-18 08:34:43 +0000, Tee, Rough, , #draw#pull#normal#doubleCross
 SW, Short,19.54398435,14.29880036,4, 5 Handicap, 2024-10-18 08:34:43 +0000, Rough, Green, Center, #straight#normal#intended
 Pu, Putting,5.250727928,4.965467371,5, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, lowLeft,
 Pu, Putting,1.268799485,1.268799485,-7, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 Dr, Driving,297.8822161,88.79091305,3, 25 Handicap, 2024-10-18 08:34:43 +0000, Tee, Rough, Low, #straight#low#doubleCross
 5H, Approach,214.942256,125.4865613,-3, 5 Handicap, 2024-10-18 08:34:43 +0000, Rough, Fairway, Center, #straight#normal#intended
 7I, Approach,97.50409437,48.18529468,-6, 20 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Fairway, High, #straight#low#doubleCross
 SW, Approach,51.46823392,49.27101272,11, 20 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Rough, Center, #push#normal#doubleCross
 SW, Short,14.80638804,20.67785273,5, 5 Handicap, 2024-10-18 08:34:43 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,5.97649563,5.857111462,-4, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, highRight,
 Pu, Putting,0.441471973,0.441466014,-7, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 Dr, Driving,360.4402375,170.8631003,5, 5 Handicap, 2024-10-18 08:34:43 +0000, Tee, Fairway, ,
 4H, Approach,190.2889172,137.5585507,6, 10 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Fairway, Center, #fade#straight#normal#intended
 PW, Approach,54.93854044,56.29890938,-31, 10 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Green, Center, #draw#pull#normal#intended
 Pu, Putting,15.70740291,15.48706521,-3, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, lowRight,
 Pu, Putting,5.48327446,5.564249117,5, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, left,
 Pu, Putting,0.329913713,0.329906828,-7, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 Dr, Driving,346.2952294,110.7150077,0, 25 Handicap, 2024-10-18 08:34:43 +0000, Tee, Rough, Low, #pull#low#doubleCross
 4H, Approach,247.6913057,155.196111,-16, Elite Am, 2024-10-18 08:34:43 +0000, Rough, Fairway, Center, #draw#straight#normal#intended
 8I, Approach,100.5121988,81.58455553,0, 20 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Sand, Center, #pull#normal
 SW, Short,21.28872558,13.93546477,-4, 10 Handicap, 2024-10-18 08:34:43 +0000, Sand, Green, Center, #straight#high#intended
 Pu, Putting,10.29310509,8.708080813,5, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, lowLeft,
 Pu, Putting,2.166167537,1.867784247,7, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, right,
 Pu, Putting,0.532268674,0.53226867,-4, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 Dr, Driving,446.4644813,157.3626226,19, 25 Handicap, 2024-10-18 08:34:43 +0000, Tee, Rough, Toe, #fade#push#normal#doubleCross
 5H, Approach,298.0941451,134.4897898,-14, 0 Handicap, 2024-10-18 08:34:43 +0000, Rough, Fairway, Center, #draw#straight#normal#intended
 4H, Approach,163.9695507,102.7429428,-7, 20 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Rough, High, #straight#low#doubleCross
 PW, Approach,61.26259699,56.47847496,-4, Pro, 2024-10-18 08:34:43 +0000, Rough, Green, Center, #straight#high#intended
 Pu, Putting,4.954239561,4.954298647,4, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, short,
 Pu, Putting,0.6096,0,-4, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 Dr, Driving,402.8100707,132.5463818,-46, 25 Handicap, 2024-10-18 08:34:43 +0000, Tee, Recovery, Heel, #hook#pull#low#doubleCross
 4H, Approach,304.9237008,110.2692424,-6, Pro, 2024-10-18 08:34:43 +0000, Recovery, Fairway, Center, #straight#low#intended
 4H, Approach,194.8480098,125.9514525,-4, 10 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Fairway, Center, #fade#straight#normal#intended
 PW, Approach,69.2422065,61.32017926,7, Pro, 2024-10-18 08:34:43 +0000, Fairway, Green, Center, #straight#high#intended
 Pu, Putting,3.936871825,8.238801944,-3, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, right,
 Pu, Putting,0.374822598,0.374822657,7, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 5H, Approach,131.9634564,137.7034347,3, 10 Handicap, 2024-10-18 08:34:43 +0000, Tee, Rough, Center, #fade#straight#high
 SW, Short,13.24414166,19.78522033,-6, 5 Handicap, 2024-10-18 08:34:43 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,5.922903429,5.922903429,7, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, highLeft,
 Pu, Putting,0.6096,1.538062308,5, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 Dr, Driving,409.6184642,174.156159,-3, 15 Handicap, 2024-10-18 08:34:43 +0000, Tee, Fairway, Center, #fade#straight#normal#intended
 4H, Approach,242.4717276,125.3166717,7, 5 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Fairway, Center, #fade#straight#normal#intended
 5H, Approach,118.2786668,113.7523048,3, Pro, 2024-10-18 08:34:43 +0000, Fairway, Green, Center, #fade#straight#normal#intended
 Pu, Putting,5.223818838,5.223798365,-6, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, short,
 Pu, Putting,0.6096,0,3, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 4H, Approach,165.2357588,99.55298136,0, 20 Handicap, 2024-10-18 08:34:43 +0000, Tee, Rough, Low, #pull#low#doubleCross
 PW, Approach,68.25849625,64.82318539,10, 10 Handicap, 2024-10-18 08:34:43 +0000, Rough, Sand, Low, #fade#push#low#doubleCross
 SW, Short,13.75071496,26.76666034,-4, 25 Handicap, 2024-10-18 08:34:43 +0000, Sand, Rough, Low, #straight#low#doubleCross
 PW, Short,17.84711794,9.542577092,4, 10 Handicap, 2024-10-18 08:34:43 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,9.272010144,12.92440154,4, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, right,
 Pu, Putting,3.761540147,3.174936491,3, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, lowLeft,
 Pu, Putting,0.599459266,0.599459266,-3, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 Dr, Driving,472.228081,164.7725438,-6, 15 Handicap, 2024-10-18 08:34:43 +0000, Tee, Rough, Center, #fade#straight#normal#intended
 4H, Approach,308.0413921,110.7343561,3, 5 Handicap, 2024-10-18 08:34:43 +0000, Rough, Fairway, High, #straight#low#doubleCross
 4H, Approach,198.0502463,93.10071567,3, 10 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Fairway, Low, #straight#low#doubleCross
 PW, Approach,105.1982471,91.05361324,-6, 15 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Rough, Center, #fade#straight#normal#intended
 PW, Short,15.15585687,26.95295915,4, 20 Handicap, 2024-10-18 08:34:43 +0000, Rough, Rough, Low, #straight#low#doubleCross
 PW, Short,16.6836096,12.48391158,7, 5 Handicap, 2024-10-18 08:34:43 +0000, Rough, Green, , #straight#low#intended
 Pu, Putting,6.40180988,6.142925289,6, 20 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, right,
 Pu, Putting,0.417305719,0.41730248,-3, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 4H, Approach,169.2873278,101.2231627,0, 20 Handicap, 2024-10-18 08:34:43 +0000, Tee, Rough, Heel, #pull#low#doubleCross
 PW, Approach,69.4750107,76.13224945,7, Elite Am, 2024-10-18 08:34:43 +0000, Rough, Green, Center, #straight#normal#intended
 Pu, Putting,8.460759185,8.026871941,6, 10 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, left,
 Pu, Putting,0.899262396,0.899262396,6, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 Dr, Driving,339.9005927,200.6679598,3, 0 Handicap, 2024-10-18 08:34:43 +0000, Tee, Fairway, Center, #fade#straight#normal#intended
 4H, Approach,155.7273889,147.5037226,-4, Pro, 2024-10-18 08:34:43 +0000, Fairway, Green, Center, #straight#normal#intended
 Pu, Putting,8.91336245,9.050373823,3, 5 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, lowLeft,
 Pu, Putting,0.86125066,0.861248855,-4, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 Dr, Driving,338.0689257,132.2982997,0, 15 Handicap, 2025-08-09 12:55:06 +0000, Tee, Fairway, Center, #pull#low
 4H, Approach,209.373456,150.5338854,-30, 15 Handicap, 2025-08-09 12:55:06 +0000, Fairway, Rough, Center, #draw#pull#normal#doubleCross
 PW, Approach,68.08153398,56.1032631,3, 5 Handicap, 2025-08-09 12:55:06 +0000, Rough, Green, Center, #straight#normal#intended
 Pu, Putting,16.60549182,17.46249305,-4, 25 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, highRight,
 Pu, Putting,4.947848355,7.326650174,6, 25 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, left,
 Pu, Putting,3.28607415,3.286028027,-6, Pro, 2025-08-09 12:55:06 +0000, Green, Green, holed,
 5H, Approach,143.8997698,131.935263,18, 15 Handicap, 2025-08-09 12:55:06 +0000, Tee, Sand, Center, #fade#push#normal#doubleCross
 SW, Short,23.46833592,17.93070642,3, 5 Handicap, 2025-08-09 12:55:06 +0000, Sand, Green, Center, #straight#high#intended
 Pu, Putting,5.558801763,5.702808132,4, 25 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, lowLeft,
 Pu, Putting,0.97268408,0.97268408,7, Pro, 2025-08-09 12:55:06 +0000, Green, Green, holed,
 Dr, Driving,355.1020281,189.3592444,56, 25 Handicap, 2025-08-09 12:55:06 +0000, Tee, Recovery, Center, #slice#push#high#doubleCross
 7I, Approach,175.8502647,34.27002496,7, 25 Handicap, 2025-08-09 12:55:06 +0000, Recovery, Recovery, High, #straight#low#doubleCross
 PW, Approach,149.2516635,75.13015454,-26, Pro, 2025-08-09 12:55:06 +0000, Recovery, Fairway, Center, #draw#pull#low#doubleCross
 PW, Approach,77.60034587,60.5381909,-6, 5 Handicap, 2025-08-09 12:55:06 +0000, Fairway, Green, Center, #straight#high#intended
 Pu, Putting,8.26973311,17.11977124,-6, 25 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, highLeft,
 Pu, Putting,5.990826143,8.734265839,6, 25 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, right,
 Pu, Putting,2.749371693,2.749369804,-7, Pro, 2025-08-09 12:55:06 +0000, Green, Green, holed,
 Dr, Driving,332.5710715,155.2098227,41, 25 Handicap, 2025-08-09 12:55:06 +0000, Tee, Recovery, Toe, #slice#normal#doubleCross
 8I, Approach,178.651429,82.57791627,18, 5 Handicap, 2025-08-09 12:55:06 +0000, Recovery, Rough, Toe, #fade#push#normal#doubleCross
 PW, Approach,96.12641716,53.39418412,0, 20 Handicap, 2025-08-09 12:55:06 +0000, Rough, Rough, Low, #pull#low#doubleCross
 SW, Approach,46.12144505,23.19522679,-4, 5 Handicap, 2025-08-09 12:55:06 +0000, Rough, Green, High, #straight#low#doubleCross
 Pu, Putting,11.93681489,19.19055859,-5, 25 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, lowLeft,
 Pu, Putting,5.64041554,5.625651118,3, 25 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, right,
 Pu, Putting,1.1449114,1.144909752,-4, Pro, 2025-08-09 12:55:06 +0000, Green, Green, holed,
 Dr, Driving,307.9837042,147.8434332,-5, 10 Handicap, 2025-08-09 12:55:06 +0000, Tee, Fairway, Low, #fade#straight#low#doubleCross
 PW, Approach,185.0044387,40.77465086,4, 20 Handicap, 2025-08-09 12:55:06 +0000, Fairway, Fairway, Center, #fade#straight#normal#intended
 4H, Approach,152.3696951,153.6628152,-11, 15 Handicap, 2025-08-09 12:55:06 +0000, Fairway, Rough, Center, #draw#straight#normal#intended
 PW, Short,26.59468619,21.81153526,6, 5 Handicap, 2025-08-09 12:55:06 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,6.876994882,6.0813614,7, 25 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, short,
 Pu, Putting,1.001893008,1.001890256,-4, Pro, 2025-08-09 12:55:06 +0000, Green, Green, holed,
 Dr, Driving,270.659426,184.0576499,7, 0 Handicap, 2025-08-09 12:55:06 +0000, Tee, Fairway, Center, #fade#straight#normal#intended
 9I, Approach,95.63328975,89.3423773,-4, 0 Handicap, 2025-08-09 12:55:06 +0000, Fairway, Green, Center, #straight#normal#intended
 Pu, Putting,7.424505048,7.616150329,6, 25 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, left,
 Pu, Putting,1.448010234,1.448009002,4, Pro, 2025-08-09 12:55:06 +0000, Green, Green, holed,
 4H, Approach,139.3503127,133.5555584,0, 15 Handicap, 2025-08-09 12:55:06 +0000, Tee, Rough, Heel, #pull#normal#doubleCross
 PW, Short,22.5038636,9.243646111,0, 20 Handicap, 2025-08-09 12:55:06 +0000, Rough, Rough, , #pull#low#doubleCross
 PW, Short,15.73560445,9.584893638,3, 5 Handicap, 2025-08-09 12:55:06 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,6.751083646,6.336855084,-3, 15 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, highLeft,
 Pu, Putting,0.421527744,0.421527744,6, Pro, 2025-08-09 12:55:06 +0000, Green, Green, holed,
 Dr, Driving,376.5312517,113.0457259,15, 25 Handicap, 2025-08-09 12:55:06 +0000, Tee, Rough, Low, #push#low#doubleCross
 4H, Approach,264.1628802,66.28623644,-7, 10 Handicap, 2025-08-09 12:55:06 +0000, Rough, Fairway, High, #straight#low#doubleCross
 4H, Approach,199.3297759,153.3404359,7, 5 Handicap, 2025-08-09 12:55:06 +0000, Fairway, Fairway, Center, #straight#normal#intended
 SW, Approach,47.16466223,40.8631203,-5, 0 Handicap, 2025-08-09 12:55:06 +0000, Fairway, Green, Center, #straight#normal#intended
 Pu, Putting,4.519567641,8.225142487,3, 25 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, short,
 Pu, Putting,0.808901145,0.808893008,-4, Pro, 2025-08-09 12:55:06 +0000, Green, Green, holed,
 5H, Approach,139.0967695,91.60849278,14, 20 Handicap, 2025-08-09 12:55:06 +0000, Tee, Rough, Low, #fade#push#low#doubleCross
 SW, Approach,49.04756084,45.40808206,-4, Pro, 2025-08-09 12:55:06 +0000, Rough, Green, Center, #straight#normal#intended
 Pu, Putting,5.866394529,5.695766189,5, 25 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, highLeft,
 Pu, Putting,0.487484596,0.487484596,4, Pro, 2025-08-09 12:55:06 +0000, Green, Green, holed,
 Dr, Driving,333.7544172,93.4896368,0, 25 Handicap, 2025-08-09 12:55:06 +0000, Tee, Rough, Heel, #pull#low#doubleCross
 4H, Approach,252.1759935,100.2124845,-5, 5 Handicap, 2025-08-09 12:55:06 +0000, Rough, Fairway, Low, #fade#straight#low#doubleCross
 4H, Approach,152.3432098,99.99025111,-3, 15 Handicap, 2025-08-09 12:55:06 +0000, Fairway, Fairway, Low, #straight#low#doubleCross
 PW, Approach,52.42700596,64.53305,-5, 10 Handicap, 2025-08-09 12:55:06 +0000, Fairway, Green, Center, #straight#normal#intended
 Pu, Putting,12.42265329,11.37364552,-4, 25 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, left,
 Pu, Putting,3.033292603,3.033266609,7, 25 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, highRight,
 Pu, Putting,0.6096,0.347332976,-6, Pro, 2025-08-09 12:55:06 +0000, Green, Green, holed,
 4H, Approach,181.1537789,141.8699932,7, 10 Handicap, 2025-08-09 12:55:06 +0000, Tee, Fairway, Center, #fade#straight#normal#intended
 PW, Short,44.35795538,64.31638225,-4, 20 Handicap, 2025-08-09 12:55:06 +0000, Fairway, Rough, Low, #straight#low#doubleCross
 PW, Short,19.96245377,19.96245377,5, Pro, 2025-08-09 12:55:06 +0000, Rough, Green, Center, #straight#normal#intended
 Pu, Putting,1,0,4, Pro, 2025-08-09 12:55:06 +0000, Green, Green, ,
 7I, Approach,137.591203,71.07073511,-5, 25 Handicap, 2025-08-09 12:55:06 +0000, Tee, Rough, Low, #straight#low#doubleCross
 PW, Approach,67.61417545,67.59075151,7, 10 Handicap, 2025-08-09 12:55:06 +0000, Rough, Sand, Center, #fade#straight#normal#intended
 SW, Short,15.03619089,25.72339558,14, 20 Handicap, 2025-08-09 12:55:06 +0000, Sand, Sand, Center, #push#high#doubleCross
 SW, Short,13.19026089,21.66768268,3, 10 Handicap, 2025-08-09 12:55:06 +0000, Sand, Green, Center, #straight#normal#intended
 Pu, Putting,8.658864209,12.68866728,6, 25 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, left,
 Pu, Putting,5.177249471,4.956667102,-4, 25 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, short,
 Pu, Putting,0.672703954,0.672703954,-3, Pro, 2025-08-09 12:55:06 +0000, Green, Green, holed,
 Dr, Driving,321.8167988,115.9019752,-7, 15 Handicap, 2025-08-09 12:55:06 +0000, Tee, Fairway, Low, #straight#low#doubleCross
 4H, Approach,206.9385209,149.200735,3, 5 Handicap, 2025-08-09 12:55:06 +0000, Fairway, Fairway, Center, #straight#normal#intended
 PW, Approach,58.11884703,62.05773431,0, 20 Handicap, 2025-08-09 12:55:06 +0000, Fairway, Rough, Center, #pull#normal#doubleCross
 PW, Short,13.58611197,20.68162044,4, 10 Handicap, 2025-08-09 12:55:06 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,8.182222623,10.5191459,-7, 25 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, left,
 Pu, Putting,2.79976244,3.064177157,-5, 25 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, short,
 Pu, Putting,1.167534258,1.16752736,-6, Pro, 2025-08-09 12:55:06 +0000, Green, Green, holed,
 4H, Approach,149.8520521,146.3804473,0, 10 Handicap, 2025-08-09 12:55:06 +0000, Tee, Sand, Center, #pull#normal#doubleCross
 SW, Short,14.60550902,31.29711314,0, 25 Handicap, 2025-08-09 12:55:06 +0000, Sand, Rough, Low, #pull#high#doubleCross
 PW, Short,20.78491261,16.60806596,-3, 5 Handicap, 2025-08-09 12:55:06 +0000, Rough, Green, Center, #straight#normal#intended
 Pu, Putting,5.306726624,4.761289337,6, 25 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, highRight,
 Pu, Putting,0.557210079,0.557210079,3, Pro, 2025-08-09 12:55:06 +0000, Green, Green, holed,
 Dr, Driving,319.6646483,180.1967706,-6, Elite Am, 2025-08-09 12:55:06 +0000, Tee, Fairway, Center, #straight#normal#intended
 5H, Approach,140.4020753,130.9962492,-12, 15 Handicap, 2025-08-09 12:55:06 +0000, Fairway, Sand, Center, #draw#straight#normal#doubleCross
 SW, Short,26.0266284,24.29107721,0, 20 Handicap, 2025-08-09 12:55:06 +0000, Sand, Sand, Low, #pull#low#doubleCross
 SW, Short,15.30206348,13.18449772,4, 5 Handicap, 2025-08-09 12:55:06 +0000, Sand, Green, Center, #straight#high#intended
 Pu, Putting,3.765857636,12.74788965,4, 25 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, short,
 Pu, Putting,0.799281246,0.799278421,5, Pro, 2025-08-09 12:55:06 +0000, Green, Green, holed,
 6I, Approach,121.4785769,114.5382405,0, 15 Handicap, 2025-08-09 12:55:06 +0000, Tee, Sand, Center, #pull#normal#doubleCross
 SW, Short,20.37294005,20.37294005,-4, Pro, 2025-08-09 12:55:06 +0000, Sand, Green, Center, #straight#normal#intended
 Pu, Putting,1,0,-3, Pro, 2025-08-09 12:55:06 +0000, Green, Green, ,
 Dr, Driving,344.4165002,188.4224445,-6, 5 Handicap, 2025-08-09 12:55:06 +0000, Tee, Fairway, Center, #fade#straight#normal#intended
 4H, Approach,173.3585114,143.587739,-12, 10 Handicap, 2025-08-09 12:55:06 +0000, Fairway, Fairway, Center, #draw#straight#normal#intended
 SW, Short,34.26109781,44.44927215,-7, 10 Handicap, 2025-08-09 12:55:06 +0000, Fairway, Green, Low, #straight#low#doubleCross
 Pu, Putting,12.07842979,12.37923112,7, Pro, 2025-08-09 12:55:06 +0000, Green, Green, ,
 Pu, Putting,0.359459534,5.372206911,-6, 25 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, left,
 Pu, Putting,5.076796443,5.07679684,-5, Pro, 2025-08-09 12:55:06 +0000, Green, Green, holed,
 Dr, Driving,265.2619485,133.1902333,41, 20 Handicap, 2025-08-09 12:55:06 +0000, Tee, Sand, Toe, #slice#straight#high#doubleCross
 SW, Approach,139.5348342,12.81559079,-4, 20 Handicap, 2025-08-09 12:55:06 +0000, Sand, Rough, Center, #straight#high#intended
 5H, Approach,126.9524599,130.7033126,-17, 10 Handicap, 2025-08-09 12:55:06 +0000, Rough, Rough, Center, #draw#straight#normal#intended
 PW, Short,18.07739256,23.63911587,6, 5 Handicap, 2025-08-09 12:55:06 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,6.956996091,6.956924857,-3, 15 Handicap, 2025-08-09 12:55:06 +0000, Green, Green, highLeft,
 Pu, Putting,0.6096,0,-5, Pro, 2025-08-09 12:55:06 +0000, Green, Green, holed,
 4H, Approach,160.364863,137.3180934,14, 10 Handicap, 2025-08-11 12:27:37 +0000, Tee, Fairway, Toe, #fade#push#normal#intended
 9I, Short,25.9638821,39.01169166,-5, 20 Handicap, 2025-08-11 12:27:37 +0000, Fairway, Rough, Low, #straight#low
 Pu, Short,14.71676058,15.00911191,4, Pro, 2025-08-11 12:27:37 +0000, Rough, Green, ,
 Pu, Putting,0.884871849,0.8848521,7, Pro, 2025-08-11 12:27:37 +0000, Green, Green, holed,
 Dr, Driving,468.7790078,98.61467686,17, 25 Handicap, 2025-08-11 12:27:37 +0000, Tee, Recovery, Low, #push#low#doubleCross
 4H, Approach,375.7714544,104.7863645,-6, 5 Handicap, 2025-08-11 12:27:37 +0000, Recovery, Rough, Low, #straight#low
 4H, Approach,282.2110062,156.6648015,3, Pro, 2025-08-11 12:27:37 +0000, Rough, Fairway, Center, #straight#normal
 7I, Approach,126.3829469,136.1126927,5, 0 Handicap, 2025-08-11 12:27:37 +0000, Fairway, Green, Low, #straight#normal
 Pu, Putting,10.08859021,10.44090904,5, 25 Handicap, 2025-08-11 12:27:37 +0000, Green, Green, highLeft,
 Pu, Putting,2.210766599,2.210760003,-7, Pro, 2025-08-11 12:27:37 +0000, Green, Green, holed,
 4H, Approach,171.5639824,89.91280045,0, 25 Handicap, 2025-08-11 12:27:37 +0000, Tee, Recovery, Toe, #pull#low
 8I, Approach,87.99386418,39.70511431,5, 0 Handicap, 2025-08-11 12:27:37 +0000, Recovery, Rough, Low, #straight#low
 PW, Approach,57.50913701,62.42418404,-5, Pro, 2025-08-11 12:27:37 +0000, Rough, Green, Center, #straight#low
 Pu, Putting,4.934663532,6.923700253,-3, 25 Handicap, 2025-08-11 12:27:37 +0000, Green, Green, highRight,
 Pu, Putting,1.362555217,1.362583864,-5, Pro, 2025-08-11 12:27:37 +0000, Green, Green, holed,
 Dr, Driving,346.4994735,178.8791719,47, 15 Handicap, 2025-08-11 12:27:37 +0000, Tee, Rough, Center, #slice#high
 4H, Approach,184.3571122,99.31562511,-4, 5 Handicap, 2025-08-11 12:27:37 +0000, Rough, Fairway, Low, #straight#low
 PW, Approach,85.39568928,71.47445299,0, 15 Handicap, 2025-08-11 12:27:37 +0000, Fairway, Fairway, Center, #pull#normal#intended
 Pu, Short,14.64631738,8.095024715,7, 5 Handicap, 2025-08-11 12:27:37 +0000, Fairway, Green, short,
 Pu, Putting,3,6.780766439,4, 25 Handicap, 2025-08-11 12:27:37 +0000, Green, Green, highRight,
 Pu, Putting,0.252027502,0.252027508,3, Pro, 2025-08-11 12:27:37 +0000, Green, Green, holed,
 Dr, Driving,246.5793688,116.4376741,5, 25 Handicap, 2025-08-11 12:27:37 +0000, Tee, Rough, Toe, #fade#normal
 7I, Approach,160.6502123,96.39313055,-7, 10 Handicap, 2025-08-11 12:27:37 +0000, Rough, Fairway, Low, #straight#low
 PW, Approach,64.51383474,48.12793364,4, 20 Handicap, 2025-08-11 12:27:37 +0000, Fairway, Sand, Center, #straight#high
 SW, Short,16.5329226,28.3236535,4, 10 Handicap, 2025-08-11 12:27:37 +0000, Sand, Green, Center, #straight#high#intended
 Pu, Putting,12.67383466,6.193558398,-3, 25 Handicap, 2025-08-11 12:27:37 +0000, Green, Green, short,
 Pu, Putting,6.771482719,6.501261388,-7, 20 Handicap, 2025-08-11 12:27:37 +0000, Green, Green, highRight,
 Pu, Putting,0.879699068,0.879699052,-5, Pro, 2025-08-11 12:27:37 +0000, Green, Green, holed,
 5W, Approach,175.2346341,159.7956116,12, 5 Handicap, 2025-08-11 12:27:37 +0000, Tee, Fairway, Center, #fade#push#normal
 PW, Short,23.44831832,50.83836106,7, 25 Handicap, 2025-08-11 12:27:37 +0000, Fairway, Recovery, Low, #straight#low
 PW, Short,28.96307814,15.89040924,3, Pro, 2025-08-11 12:27:37 +0000, Recovery, Green, Center, #straight#high
 Pu, Putting,13.16786964,12.38272569,-6, 0 Handicap, 2025-08-11 12:27:37 +0000, Green, Green, short,
 Pu, Putting,1.228683724,1.228695381,6, Pro, 2025-08-11 12:27:37 +0000, Green, Green, holed,
 Dr, Driving,265.9234874,174.046336,18, 0 Handicap, 2025-08-11 12:27:37 +0000, Tee, Fairway, Center, #fade#push#normal
 9I, Approach,91.98961379,69.30665465,4, 15 Handicap, 2025-08-11 12:27:37 +0000, Fairway, Fairway, Low, #straight#low
 8I, Short,23.10213339,19.49653849,-5, 10 Handicap, 2025-08-11 12:27:37 +0000, Fairway, Green, Center, #straight#low#intended
 Pu, Putting,5.990543193,2.982166064,6, 25 Handicap, 2025-08-11 12:27:37 +0000, Green, Green, short,
 Pu, Putting,3.123468113,3.48290566,-6, 25 Handicap, 2025-08-11 12:27:37 +0000, Green, Green, highRight,
 Pu, Putting,1.456026344,1.456026344,6, Pro, 2025-08-11 12:27:37 +0000, Green, Green, holed,
 4H, Driving,320.219424,167.6413942,0, 10 Handicap, 2025-08-11 12:27:37 +0000, Tee, Rough, Heel, #pull#normal
 7I, Approach,152.759235,103.0284456,-6, 10 Handicap, 2025-08-11 12:27:37 +0000, Rough, Fairway, High, #straight#normal
